Internal_ID	Sub_site	QC_total_reads
BM_HC_HMP_S001_01	BM	3311160
BM_HC_HMP_S002_01	BM	8448842
BM_HC_HMP_S003_01	BM	2757762
BM_HC_HMP_S003_02	BM	19679508
BM_HC_HMP_S004_01	BM	19445920
BM_HC_HMP_S005_01	BM	22603820
BM_HC_HMP_S005_03	BM	5639846
BM_HC_HMP_S006_01	BM	18491540
BM_HC_HMP_S006_02	BM	32343982
BM_HC_HMP_S006_03	BM	25379248
BM_HC_HMP_S008_01	BM	10656770
BM_HC_HMP_S012_02	BM	3541108
BM_HC_HMP_S015_01	BM	3486068
BM_HC_HMP_S015_02	BM	3565928
BM_HC_HMP_S015_03	BM	8337090
BM_HC_HMP_S016_01	BM	6512518
BM_HC_HMP_S016_02	BM	7640358
BM_HC_HMP_S017_01	BM	14633030
BM_HC_HMP_S018_01	BM	10836472
BM_HC_HMP_S018_02	BM	3303742
BM_HC_HMP_S019_01	BM	17538458
BM_HC_HMP_S019_02	BM	8476732
BM_HC_HMP_S019_03	BM	8401582
BM_HC_HMP_S022_01	BM	8732346
BM_HC_HMP_S022_02	BM	69844264
BM_HC_HMP_S022_03	BM	15153146
BM_HC_HMP_S023_01	BM	9008238
BM_HC_HMP_S023_02	BM	12761220
BM_HC_HMP_S024_01	BM	30152844
BM_HC_HMP_S024_02	BM	21714358
BM_HC_HMP_S025_01	BM	12670086
BM_HC_HMP_S025_02	BM	21923312
BM_HC_HMP_S027_01	BM	19528436
BM_HC_HMP_S028_01	BM	2485406
BM_HC_HMP_S029_01	BM	2409286
BM_HC_HMP_S029_02	BM	2521642
BM_HC_HMP_S030_01	BM	5552294
BM_HC_HMP_S030_02	BM	2795712
BM_HC_HMP_S033_01	BM	6897780
BM_HC_HMP_S034_01	BM	9518022
BM_HC_HMP_S034_02	BM	9304310
BM_HC_HMP_S035_01	BM	6809504
BM_HC_HMP_S035_02	BM	7489784
BM_HC_HMP_S036_01	BM	21693712
BM_HC_HMP_S037_01	BM	2657000
BM_HC_HMP_S037_02	BM	18670490
BM_HC_HMP_S038_01	BM	5061378
BM_HC_HMP_S039_01	BM	19497908
BM_HC_HMP_S039_02	BM	33290652
BM_HC_HMP_S040_01	BM	7667280
BM_HC_HMP_S040_02	BM	4491460
BM_HC_HMP_S041_01	BM	15996560
BM_HC_HMP_S041_02	BM	25991818
BM_HC_HMP_S042_01	BM	9354196
BM_HC_HMP_S042_02	BM	9865766
BM_HC_HMP_S044_01	BM	7033596
BM_HC_HMP_S044_02	BM	6970640
BM_HC_HMP_S044_03	BM	9877568
BM_HC_HMP_S046_01	BM	34964106
BM_HC_HMP_S047_01	BM	7356632
BM_HC_HMP_S047_02	BM	7238566
BM_HC_HMP_S047_03	BM	7523924
BM_HC_HMP_S049_01	BM	5675260
BM_HC_HMP_S049_02	BM	7967686
BM_HC_HMP_S051_01	BM	2613946
BM_HC_HMP_S052_01	BM	4387276
BM_HC_HMP_S055_01	BM	3618650
BM_HC_HMP_S055_02	BM	5235440
BM_HC_HMP_S055_03	BM	8199002
BM_HC_HMP_S055_04	BM	3888694
BM_HC_HMP_S055_05	BM	3658886
BM_HC_HMP_S055_06	BM	9335184
BM_HC_HMP_S056_01	BM	10710648
BM_HC_HMP_S057_01	BM	29835126
BM_HC_HMP_S057_02	BM	55154922
BM_HC_HMP_S057_03	BM	23903808
BM_HC_HMP_S059_01	BM	9055552
BM_HC_HMP_S061_01	BM	20627124
BM_HC_HMP_S061_02	BM	36402462
BM_HC_HMP_S062_01	BM	27819104
BM_HC_HMP_S062_02	BM	9420490
BM_HC_HMP_S063_01	BM	38752740
BM_HC_HMP_S066_01	BM	8640476
BM_HC_HMP_S066_02	BM	31428638
BM_HC_HMP_S066_03	BM	10496264
BM_HC_HMP_S067_01	BM	5111410
BM_HC_HMP_S067_02	BM	3470506
BM_HC_HMP_S067_03	BM	5268788
BM_HC_HMP_S068_01	BM	7422790
BM_HC_HMP_S068_02	BM	16676074
BM_HC_HMP_S068_03	BM	14186076
BM_HC_HMP_S070_01	BM	8804146
BM_HC_HMP_S070_02	BM	14762786
BM_HC_HMP_S070_03	BM	15705996
BM_HC_HMP_S072_01	BM	70003170
BM_HC_HMP_S072_02	BM	21039914
BM_HC_HMP_S073_01	BM	19804148
BM_HC_HMP_S073_02	BM	44686762
BM_HC_HMP_S073_03	BM	18543304
BM_HC_HMP_S074_01	BM	12551652
BM_HC_HMP_S074_02	BM	17587346
BM_HC_HMP_S074_03	BM	11838774
BM_HC_HMP_S075_01	BM	70911622
BM_HC_HMP_S077_02	BM	2224152
BM_HC_HMP_S078_01	BM	4589940
BM_HC_HMP_S078_02	BM	11597772
BM_HC_HMP_S079_01	BM	5989902
BM_HC_HMP_S079_02	BM	13471084
BM_HC_HMP_S080_01	BM	2881760
BM_HC_HMP_S080_02	BM	7003952
BM_HC_HMP_S081_01	BM	7368340
BM_HC_HMP_S081_02	BM	4771264
BM_HC_HMP_S082_01	BM	3150856
BM_HC_HMP_S084_01	BM	21835772
BM_HC_HMP_S084_02	BM	33425962
BM_HC_HMP_S085_01	BM	2988716
BM_HC_HMP_S086_01	BM	7090472
BM_HC_HMP_S087_01	BM	5384430
BM_HC_HMP_S091_01	BM	9886638
BM_HC_HMP_S097_01	BM	11012394
BM_HC_HMP_S098_01	BM	12270426
BM_HC_HMP_S098_02	BM	4873796
BM_HC_HMP_S098_03	BM	7641984
BM_HC_HMP_S100_01	BM	6348758
BM_HC_HMP_S101_01	BM	3058386
BM_HC_HMP_S101_02	BM	10799038
BM_HC_HMP_S105_01	BM	3025350
BM_HC_HMP_S105_02	BM	12444962
BM_HC_HMP_S106_01	BM	2366112
BM_HC_HMP_S107_01	BM	8680324
BM_HC_HMP_S109_01	BM	16392294
BM_HC_HMP_S110_01	BM	17860992
BM_HC_HMP_S111_01	BM	3794648
BM_HC_HMP_S111_03	BM	4598694
BM_HC_HMP_S112_01	BM	13094440
BM_HC_HMP_S113_02	BM	5733010
BM_HC_HMP_S113_03	BM	7183926
BM_HC_HMP_S114_01	BM	11612486
BM_HC_HMP_S114_02	BM	12319598
BM_HC_HMP_S115_01	BM	3464366
BM_HC_HMP_S115_02	BM	4992564
BM_HC_HMP_S115_03	BM	6109412
BM_HC_HMP_S117_01	BM	2219670
BM_HC_HMP_S117_02	BM	5105618
BM_HC_HMP_S118_01	BM	5207358
BM_HC_HMP_S119_01	BM	21256794
BM_HC_HMP_S119_02	BM	9853322
BM_HC_HMP_S121_01	BM	6564706
BM_HC_HMP_S121_02	BM	4964018
BM_HC_HMP_S121_03	BM	9904072
BM_HC_HMP_S122_01	BM	19914818
BM_HC_HMP_S122_02	BM	12988982
BM_HC_HMP_S123_01	BM	2752762
BM_HC_HMP_S126_01	BM	4467644
BM_HC_HMP_S138_01	BM	48013874
BM_HC_HMP_S140_01	BM	30809924
BM_HC_HMP_S145_01	BM	42384502
BM_HC_HMP_S151_01	BM	7986062
BM_HC_HMP_S152_01	BM	7768580
BM_HC_HMP_S153_01	BM	11920844
BM_HC_HMP_S154_01	BM	9599506
BM_HC_HMP_S155_01	BM	6371370
BM_HC_HMP_S159_01	BM	12848172
BM_HC_HMP_S160_01	BM	18316516
BM_HC_HMP_S164_01	BM	4744044
HP_HC_HMP_S082_01	HP	53053670
KG_HC_HMP_S024_01	KG	71100324
KG_HC_HMP_S024_02	KG	57470168
KG_HC_HMP_S028_01	KG	50200236
KG_HC_HMP_S028_02	KG	34280556
KG_HC_HMP_S030_01	KG	84750784
KG_HC_HMP_S030_02	KG	7276286
KG_HC_HMP_S117_01	KG	29943388
KG_HC_HMP_S126_01	KG	9347456
KG_HC_HMP_S140_01	KG	37986912
KG_HC_HMP_S149_01	KG	55801654
KG_HC_HMP_S153_01	KG	114076610
KG_HC_HMP_S161_01	KG	3014886
PB_HC_HMP_S023_01	SUBP	7929294
PB_HC_HMP_S024_01	SUBP	22254164
PB_HC_HMP_S024_02	SUBP	14996646
PB_HC_HMP_S028_01	SUBP	10335956
PB_HC_HMP_S028_02	SUBP	15933098
PB_HC_HMP_S030_01	SUBP	25345908
PB_HC_HMP_S030_02	SUBP	25026408
PB_HC_HMP_S034_01	SUBP	9747192
PB_HC_HMP_S038_01	SUBP	22888970
PB_HC_HMP_S117_01	SUBP	23929588
PB_HC_HMP_S117_02	SUBP	35557734
PB_HC_HMP_S126_01	SUBP	2449724
PB_HC_HMP_S138_01	SUBP	22116300
PB_HC_HMP_S143_01	SUBP	42073726
PB_HC_HMP_S147_01	SUBP	9442428
PB_HC_HMP_S148_01	SUBP	25545404
PB_HC_HMP_S152_01	SUBP	102964140
PB_HC_HMP_S153_01	SUBP	8936920
PB_HC_HMP_S162_01	SUBP	14945558
PP_HC_HMP_S001_01	SUPP	43222578
PP_HC_HMP_S002_01	SUPP	89344546
PP_HC_HMP_S002_02	SUPP	53379262
PP_HC_HMP_S003_01	SUPP	57096492
PP_HC_HMP_S003_02	SUPP	51902426
PP_HC_HMP_S004_01	SUPP	32203248
PP_HC_HMP_S005_01	SUPP	21242332
PP_HC_HMP_S005_02	SUPP	29747808
PP_HC_HMP_S005_03	SUPP	55328854
PP_HC_HMP_S006_01	SUPP	35598896
PP_HC_HMP_S006_02	SUPP	31473392
PP_HC_HMP_S006_03	SUPP	51475548
PP_HC_HMP_S008_01	SUPP	73983172
PP_HC_HMP_S010_01	SUPP	59608646
PP_HC_HMP_S012_01	SUPP	65033456
PP_HC_HMP_S012_02	SUPP	29659792
PP_HC_HMP_S015_01	SUPP	47715010
PP_HC_HMP_S015_02	SUPP	25011018
PP_HC_HMP_S015_03	SUPP	93855858
PP_HC_HMP_S016_01	SUPP	33065268
PP_HC_HMP_S016_02	SUPP	62881238
PP_HC_HMP_S017_01	SUPP	55353412
PP_HC_HMP_S017_02	SUPP	33539234
PP_HC_HMP_S018_01	SUPP	82851616
PP_HC_HMP_S018_02	SUPP	39106306
PP_HC_HMP_S019_01	SUPP	41800892
PP_HC_HMP_S019_02	SUPP	23060952
PP_HC_HMP_S019_03	SUPP	66569118
PP_HC_HMP_S020_01	SUPP	46909484
PP_HC_HMP_S022_01	SUPP	79343808
PP_HC_HMP_S022_02	SUPP	95502908
PP_HC_HMP_S022_03	SUPP	127707510
PP_HC_HMP_S023_01	SUPP	55618468
PP_HC_HMP_S024_01	SUPP	66594640
PP_HC_HMP_S024_02	SUPP	53356912
PP_HC_HMP_S025_01	SUPP	19273304
PP_HC_HMP_S027_01	SUPP	9609204
PP_HC_HMP_S028_01	SUPP	40936198
PP_HC_HMP_S028_02	SUPP	51716270
PP_HC_HMP_S029_01	SUPP	44015966
PP_HC_HMP_S029_02	SUPP	64299914
PP_HC_HMP_S030_01	SUPP	54942636
PP_HC_HMP_S030_02	SUPP	62667280
PP_HC_HMP_S032_01	SUPP	29866542
PP_HC_HMP_S032_02	SUPP	54410156
PP_HC_HMP_S033_01	SUPP	69320222
PP_HC_HMP_S033_02	SUPP	53498472
PP_HC_HMP_S034_01	SUPP	48386390
PP_HC_HMP_S034_02	SUPP	52274184
PP_HC_HMP_S034_03	SUPP	106492376
PP_HC_HMP_S035_01	SUPP	58886094
PP_HC_HMP_S035_02	SUPP	46644564
PP_HC_HMP_S036_01	SUPP	46042816
PP_HC_HMP_S036_02	SUPP	51858128
PP_HC_HMP_S037_01	SUPP	36492462
PP_HC_HMP_S037_02	SUPP	27503982
PP_HC_HMP_S037_03	SUPP	47881178
PP_HC_HMP_S038_01	SUPP	20819886
PP_HC_HMP_S038_02	SUPP	12351476
PP_HC_HMP_S039_01	SUPP	53818832
PP_HC_HMP_S039_02	SUPP	61910646
PP_HC_HMP_S039_03	SUPP	45628350
PP_HC_HMP_S040_01	SUPP	50586956
PP_HC_HMP_S040_02	SUPP	105275188
PP_HC_HMP_S041_01	SUPP	25270392
PP_HC_HMP_S041_02	SUPP	10965320
PP_HC_HMP_S042_01	SUPP	18456612
PP_HC_HMP_S042_02	SUPP	37267468
PP_HC_HMP_S044_01	SUPP	62478328
PP_HC_HMP_S044_02	SUPP	47759066
PP_HC_HMP_S045_01	SUPP	43217400
PP_HC_HMP_S045_02	SUPP	20085294
PP_HC_HMP_S046_01	SUPP	58932468
PP_HC_HMP_S047_01	SUPP	30503942
PP_HC_HMP_S047_02	SUPP	103468794
PP_HC_HMP_S048_01	SUPP	47603842
PP_HC_HMP_S048_02	SUPP	39793532
PP_HC_HMP_S049_01	SUPP	51130618
PP_HC_HMP_S049_02	SUPP	48114500
PP_HC_HMP_S051_01	SUPP	46597160
PP_HC_HMP_S051_02	SUPP	69701832
PP_HC_HMP_S052_01	SUPP	54545302
PP_HC_HMP_S055_01	SUPP	34911656
PP_HC_HMP_S056_01	SUPP	57017868
PP_HC_HMP_S057_01	SUPP	54995952
PP_HC_HMP_S057_02	SUPP	88261018
PP_HC_HMP_S057_03	SUPP	89081946
PP_HC_HMP_S059_01	SUPP	14630066
PP_HC_HMP_S059_02	SUPP	47720130
PP_HC_HMP_S061_01	SUPP	27991966
PP_HC_HMP_S061_02	SUPP	20161518
PP_HC_HMP_S062_01	SUPP	83777128
PP_HC_HMP_S062_02	SUPP	94486740
PP_HC_HMP_S063_01	SUPP	77496090
PP_HC_HMP_S063_02	SUPP	64037758
PP_HC_HMP_S064_01	SUPP	65718056
PP_HC_HMP_S064_02	SUPP	54334970
PP_HC_HMP_S065_01	SUPP	8414394
PP_HC_HMP_S066_01	SUPP	80191742
